LOAD NO.,CONTAINER NO.,SIZE,SSL,TERMINAL,EXPORT BOOKING NO.,ETA,LFD,CUSTOMS,FREIGHT,PICK-UP STATUS,GATE OUT DATE,EST. DELIVERY DATE,ACTUAL DELIVERY DATE,EMPTY READY FOR P/U,EMPTY RETURN P/U,DELIVERY LOCATION,CUSTOMER,CC,NOTES
1452,WHLU0611839,20GP,WHLC - WAN HAI LINES LTD,GLOBAL (GCT),,1/10/2022,20-Jan,RELEASED,RELEASED,AVAILABLE,1/19/2022,1/27/2022,,,,"Saddle BROOK, NJ",MG,VH,PLT
1439,CAAU5109164 ,40HC,MEDU,GLOBAL (GCT),,1/10/2022,20-Jan,RELEASED,RELEASED,Released,1/20/2022,1/26/2022,,,,"Wayne,nj",MG,VH,FL
1451,WHSU2714214,20GP,WHLC - WAN HAI LINES LTD,GLOBAL (GCT),,1/10/2022,20-Jan,RELEASED,RELEASED,AVAILABLE,1/19/2022,1/26/2022,,,,"Saddle BROOK, NJ",MG,VH,PLT
1445,WHSU2529772,20GP,WHLC - WAN HAI LINES LTD,GLOBAL (GCT),,1/10/2022,17-Jan,RELEASED,RELEASED,Released,1/20/2022,1/27/2022,,,,"AvENEL, NJ",MG,VH,PLT
1402,CICU1823421,40HC,LLHP,PNCT,,1/4/2022,13-Jan,RELEASED,RELEASED,AVAILABLE,1/12/2022,1/25/2022,,,26-Jan,"AVENEL, NJ",MG,VH,FL
1403,HPCU4129326,40HC,LLHP,PNCT,,1/4/2022,13-Jan,RELEASED,RELEASED,AvaILABLE,1/19/2022,1/27/2022,,28-Jan,26-Jan,"aVENEL, NJ",MG,VH,FL
1444,WHSU2514520,20GP,WHLC - WAN HAI LINES LTD,GLOBAL (GCT),,1/10/2022,17-Jan,RELEASED,RELEASED,released,1/20/2022,1/27/2022,,,,"AvENEL, NJ",MG,VH,PLT
1405,CICU2543298,40HC,LLHP,PNCT,,1/4/2022,13-Jan,RELEASED,RELEASED,Availabe,1/13/2022,1/20/2022,1/20/2022,,26-Jan,"AVENEL, NJ",MG,VH,FL
1413,CICU1827643,40HC,LLHP,PNCT,,1/4/2022,13-Jan,RELEASED,RELEASED,AVAILABLE,1/19/2022,1/27/2022,,,31-Jan,"Wayne,nj",MG,VH,FL
1414,CICU1827622,40HC,LLHP,PNCT,,1/4/2022,13-Jan,RELEASED,RELEASED,AVAILABLE,1/12/2022,1/27/2022,,31-Jan,31-Jan,"Wayne,nj",MG,VH,FL
1450,WHSU2814701,20GP,WHLC - WAN HAI LINES LTD,GLOBAL (GCT),,1/10/2022,20-Jan,RELEASED,RELEASED,AVAILABLE,1/19/2022,1/25/2022,1/25/2022,25-Jan,,"Saddle BROOK, NJ",MG,VH,PLT
1486,TEMU8166077,40,ZIM,APM,,24-Jan,27-Jan,RELEASED,RELEASED,AVAILABLE,26-Jan, ,,28-Jan,31-Jan,"AvENEL, NJ",MG,AS,FL
1487,TEMU6794990,40,ZIM,APM,,24-Jan,27-Jan,RELEASED,RELEASED,AVAILABLE,27-Jan,,,28-Jan,31-Jan,"AvENEL, NJ",MG,AS,FL
1438,DFSU2376963,20GP,CMDU-CMA-CGM,MAHER,,1/8/2022,27-Jan,RELEASED,RELEASED,AVAILABLE,1/27/2022,1/28/2022,,,,"SADDLE BROOK, NJ",MG,VH,PLT
1410,CICU2542985,40HC,LLHP,PNCT,,1/4/2022,13-Jan,RELEASED,RELEASED,AVAILABLE,1/13/2022,1/26/2022,1/26/2022,1-Feb,1-Feb,"Wayne,nj",MG,VH,FL
1407,CICU1826035,40HC,LLHP,PNCT,,1/4/2022,13-Jan,RELEASED,RELEASED,Availabe,1/20/2022,1/28/2022,1/28/2022,2-Feb,,"aVENEL, NJ",MG,VH,FL
1411,CICU1827577,40HC,LLHP,PNCT,,1/4/2022,13-Jan,RELEASED,RELEASED,available,1/19/2022,1/24/2022,1/25/2022,2-Feb,3-Feb,"SADDLE BROOK, NJ",MG,VH,FL
1430,GESU1427687,20GP,CMDU-CMA-CGM,MAHER,,1/22/2022,27-Jan,RELEASED,RELEASED,AVAILABLE,1/26/2022,2/1/2022,,,,"SADDLE BROOK, NJ",MG,VH,PLT
1435,CMAU0925221,20GP,CMDU-CMA-CGM,MAHER,,1/8/2022,27-Jan,ReleASED,RELEASED,AVAILABLE,,1/31/2022,,,,"SADDLE BROOK, NJ",MG,VH,PLT
1492,NYKU3251098,20,ONEY,GLOBAL (GCT),,22-Jan,1-Feb,RELEASED,RELEASED,AVAILABLE,1-Feb,2/2/2022,2/2/2022,2-Feb,,"AvENEL, NJ",MG,VH,PLT
1493,TCLU7484184,20,ONEY,GLOBAL (GCT),,22-Jan,1-Feb,RELEASED,RELEASED,AVAILABLE,1-Feb,,2/3/2022,3-Feb,,"AvENEL, NJ",MG,VH,PLT
1436,DFSU2453782,20GP,CMDU-CMA-CGM,MAHER,,1/8/2022,27-Jan,RELEASED,RELEASED,AVAILABLE,1/26/2022,1/31/2022,,,,"SADDLE BROOK, NJ",MG,VH,PLT
1437,CMAU1038638,20GP,CMDU-CMA-CGM,MAHER,,1/8/2022,27-Jan,RELEASED,RELEASED,AVAILABLE,1/27/2022,1/31/2022,,,,"SADDLE BROOK, NJ",MG,VH,PLT
1490,GIPU2075946,20,ONEY,GLOBAL (GCT),,22-Jan,1-Feb,RELEASED,RELEASED,AVAILABLE,2-Feb,,2/3/2022,3-Feb,,"AvENEL, NJ",MG,AS,PLT
1491,FCIU5553380,20,ONEY,GLOBAL (GCT),,22-Jan,1-Feb,RELEASED,RELEASED,AVAILABLE,1-Feb,2/2/2022,2/2/2022,2-Feb,,"AvENEL, NJ",MG,AS,PLT
